,datetime,shape,duration (seconds),comments,latitude,longitude ,date,time
11523,11/20/1996 21:30,circle,600,I WENT OUTSIDE TO TAKE OUT THE GARBAGE DURING THE INDIANDS PLAYOFF GAME I WENT TO THE BACK YARD LOOKED UP AT THE TOWER AND SAW A LIGHT.,41.4047222,-81.7230556,1996,21:30
5435,10/30/1996 19:30,triangle,120,orange triangle metallic looking object sighted from windowI was sitting on couch and saw a plane? coming in the distance. No surpr,40.4333333,-80.7719444,1996,19:30
9690,11/16/1996 21:30,triangle,45,Triangular Craft Flies Through Boyfirend&#39s Neighborhood.,38.9905556,-77.0263889,1996,21:30
25838,2/1/1996 15:00,triangle,180,TRIANGLER CRAFT NEAR BARKSDALE,32.5355556,-93.4108333,1996,15:00
67943,8/20/1996 02:15,disk,600.0,Teen girl  saw circular UFO with orange&#44green&#44reddish-orange .A series of rectangular windows were around the middle body. One window i,38.6880556,-83.6094444,1996,02:15
40293,4/5/1996 23:30,disk,300,Craft hovered over a barn on the side of the road and put a spotlight in my car,48.1988889,-122.1238889,1996,23:30
40288,4/5/1996 12:00,disk,60,I saw it hover for a 1min.Then it tuck off at a high speed.,40.5866667,-122.3905556,1996,12:00
14710,1/15/1996 00:00,circle,15,Facing the gulf of mexico we noticed a luminescent circular object appear out over the gulf. It was translucent and glowing,30.1763889,-85.8055556,1996,00:00
74698,9/15/1996 22:30,triangle,30.0,The craft was between earth and a full moon.,34.5438889,-85.3105556,1996,22:30
25841,2/1/1996 22:30,circle,900,circle of lights passed over head,42.7341667,-90.4783333,1996,22:30
71306,8/4/1996 19:30,triangle,1200.0,((HOAX??))  Pennsylvania black ops?,40.2452778,-75.65,1996,19:30
59139,7/23/1996 21:32,triangle,5,A friend of mine and me were camping on my roof we saw a green triangle shape thing  zip by. This was no meteor because it slowed down,25.7902778,-80.1302778,1996,21:32
72778,9/10/1996 23:45,triangle,300.0,three lights moving in a triangle formation&#44 no sound&#44 all three lights went out at the same moment,36.1880556,-94.5402778,1996,23:45
20959,12/28/1996 01:00,triangle,1200,Black Triangle about 75 feet width.,42.2711111,-89.0938889,1996,01:00
